"No.","Time","Source","Destination","Protocol","Length","Data rate (Mb/s)","Info","Bandwidth"
"13963","869.068800","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=1564, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"13964","869.171200","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=1565, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"13965","869.273600","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=1566, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"13966","869.376000","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=1567, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"13967","869.478400","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=1568, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"13968","869.580800","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=1569, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"13969","869.683200","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=1570, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"13970","869.785600","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=1571, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"13971","869.888000","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=1572, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"13972","869.981427","192.168.239.5","192.168.239.1","UDP","1088","","49153  >  9 Len=1024","1088"
"13973","869.999217","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=1573, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"13974","870.000251","192.168.239.1","192.168.239.5","UDP","1088","","9  >  49153 Len=1024","1088"
"13975","870.000261","","00:00:00_00:00:03 (00:00:00:00:00:03) (RA)","802.11","14","","Acknowledgement, Flags=........","14"
"13976","870.000879","192.168.239.5","192.168.239.1","UDP","1088","","49153  >  9 Len=1024","1088"
"13977","870.010089","","00:00:00_00:00:05 (00:00:00:00:00:05) (RA)","802.11","14","","Acknowledgement, Flags=........","14"
"13978","870.027987","192.168.239.4","192.168.239.1","UDP","2112","","49153  >  9 Len=2048","2112"
"13979","870.028301","","00:00:00_00:00:04 (00:00:00:00:00:04) (RA)","802.11","14","","Acknowledgement, Flags=........","14"
"13980","870.030079","192.168.239.1","192.168.239.4","UDP","2112","","9  >  49153 Len=2048","2112"
"13981","870.030337","","00:00:00_00:00:03 (00:00:00:00:00:03) (RA)","802.11","14","","Acknowledgement, Flags=........","14"
"13982","870.092800","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=1576, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"13983","870.195200","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=1577, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"13984","870.297600","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=1578, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"13985","870.400000","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=1579, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"13986","870.502400","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=1580, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"13987","870.604800","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=1581, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"13988","870.707200","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=1582, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"13989","870.809600","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=1583, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"13990","870.912000","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=1584, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"13991","870.981427","192.168.239.5","192.168.239.1","UDP","1088","","49153  >  9 Len=1024","1088"
"13992","870.999549","192.168.239.1","192.168.239.5","UDP","1088","","9  >  49153 Len=1024","1088"
"13993","870.999559","","00:00:00_00:00:03 (00:00:00:00:00:03) (RA)","802.11","14","","Acknowledgement, Flags=........","14"
