"No.","Time","Source","Destination","Protocol","Length","Data rate (Mb/s)","Info","Bandwidth"
"744","52.224000","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=569, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"745","52.326400","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=570, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"746","52.428800","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=571, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"747","52.531200","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=572, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"748","52.633600","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=573, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"749","52.736000","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=574, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"750","52.838400","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=575, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"751","52.940800","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=576, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"752","52.981427","192.168.239.5","192.168.239.1","UDP","1088","","49153  >  9 Len=1024","1088"
"753","52.983460","","00:00:00_00:00:05 (00:00:00:00:00:05) (RA)","802.11","14","","Acknowledgement, Flags=........","14"
"754","52.984494","192.168.239.1","192.168.239.5","UDP","1088","","9  >  49153 Len=1024","1088"
"755","52.984504","","00:00:00_00:00:03 (00:00:00:00:00:03) (RA)","802.11","14","","Acknowledgement, Flags=........","14"
"756","53.043200","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=578, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"757","53.145600","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=579, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"758","53.248000","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=580, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"759","53.350400","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=581, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"760","53.452800","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=582, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"761","53.555200","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=583, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"762","53.657600","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=584, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"763","53.760000","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=585, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"764","53.862400","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=586, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"765","53.964800","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=587, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"766","53.981427","192.168.239.5","192.168.239.1","UDP","1088","","49153  >  9 Len=1024","1088"
"767","53.983460","","00:00:00_00:00:05 (00:00:00:00:00:05) (RA)","802.11","14","","Acknowledgement, Flags=........","14"
"768","53.984494","192.168.239.1","192.168.239.5","UDP","1088","","9  >  49153 Len=1024","1088"
"769","53.984504","","00:00:00_00:00:03 (00:00:00:00:00:03) (RA)","802.11","14","","Acknowledgement, Flags=........","14"
"770","54.067200","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=589, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"771","54.169600","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=590, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"772","54.272000","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=591, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"773","54.374400","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=592, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"774","54.476800","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=593, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"775","54.579200","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=594, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"776","54.681600","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=595, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"777","54.784000","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=596, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"778","54.886400","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=597, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"779","54.981427","192.168.239.5","192.168.239.1","UDP","1088","","49153  >  9 Len=1024","1088"
