No.,Time,Length,Device IP,Day
188,0 days 00:00:22.418538890,86,192.168.239.95,1
189,0 days 00:00:22.418570591,86,192.168.239.95,1
190,0 days 00:00:22.442489256,86,192.168.239.95,1
191,0 days 00:00:22.442514688,86,192.168.239.95,1
192,0 days 00:00:22.470746525,156,192.168.239.7,1
193,0 days 00:00:22.470792579,86,192.168.239.95,1
194,0 days 00:00:22.477664355,86,192.168.239.95,1
195,0 days 00:00:22.477786104,86,192.168.239.95,1
196,0 days 00:00:22.486679275,86,192.168.239.95,1
197,0 days 00:00:22.514126171,86,192.168.239.95,1
198,0 days 00:00:22.937570237,192,192.168.239.67,1
199,0 days 00:00:22.939836484,125,192.168.239.7,1
200,0 days 00:00:22.940450110,151,192.168.239.7,1
201,0 days 00:00:22.940829630,119,192.168.239.67,1
202,0 days 00:00:22.978360626,86,192.168.239.95,1
203,0 days 00:00:22.978360851,86,192.168.239.95,1
204,0 days 00:00:22.978360899,86,192.168.239.95,1
205,0 days 00:00:23.551930943,173,192.168.239.7,1
206,0 days 00:00:23.551931181,117,192.168.239.7,1
207,0 days 00:00:23.551931199,125,192.168.239.67,1
208,0 days 00:00:23.552011966,86,192.168.239.95,1
209,0 days 00:00:23.553094558,125,192.168.239.67,1
210,0 days 00:00:23.597845428,86,192.168.239.95,1
211,0 days 00:00:23.859171078,201,192.168.239.12,1
212,0 days 00:00:23.859171325,113,192.168.239.7,1
213,0 days 00:00:23.873159799,95,192.168.239.7,1
214,0 days 00:00:24.466412361,86,192.168.239.95,1
215,0 days 00:00:24.512990599,86,192.168.239.95,1
216,0 days 00:00:25.152612633,203,192.168.239.67,1
217,0 days 00:00:25.804802693,86,192.168.239.95,1
218,0 days 00:00:26.214419480,42,192.168.239.7,1
219,0 days 00:00:26.214436410,42,192.168.239.7,1
220,0 days 00:00:26.307622319,97,192.168.239.67,1
221,0 days 00:00:26.307622731,96,192.168.239.7,1
222,0 days 00:00:26.313640413,328,192.168.239.12,1
223,0 days 00:00:26.317196137,95,192.168.239.67,1
224,0 days 00:00:26.320156351,323,192.168.239.12,1
225,0 days 00:00:26.514407120,86,192.168.239.95,1
226,0 days 00:00:26.516145080,90,192.168.239.67,1
227,0 days 00:00:26.516144675,86,192.168.239.7,1
228,0 days 00:00:26.516182809,78,192.168.239.67,1
229,0 days 00:00:26.528765873,95,192.168.239.67,1
230,0 days 00:00:26.541886952,86,192.168.239.95,1
231,0 days 00:00:26.828789325,163,192.168.239.12,1
232,0 days 00:00:26.829040827,98,192.168.239.7,1
233,0 days 00:00:26.857638213,204,192.168.239.12,1
234,0 days 00:00:26.857638456,112,192.168.239.7,1
235,0 days 00:00:26.873220797,95,192.168.239.7,1
236,0 days 00:00:26.881492900,87,192.168.239.7,1
237,0 days 00:00:28.059288426,92,192.168.239.67,1
238,0 days 00:00:28.059421264,97,192.168.239.67,1
239,0 days 00:00:28.116736092,87,192.168.239.7,1
240,0 days 00:00:28.132313696,91,192.168.239.67,1
241,0 days 00:00:28.144837383,95,192.168.239.7,1
242,0 days 00:00:32.470172369,156,192.168.239.7,1
243,0 days 00:00:32.540115010,86,192.168.239.95,1
244,0 days 00:00:32.658430313,86,192.168.239.95,1
245,0 days 00:00:32.662480552,86,192.168.239.95,1
246,0 days 00:00:32.693191737,86,192.168.239.95,1
247,0 days 00:00:32.726613367,86,192.168.239.95,1
248,0 days 00:00:32.972815869,177,192.168.239.67,1
249,0 days 00:00:32.972816197,117,192.168.239.67,1
250,0 days 00:00:32.972816245,125,192.168.239.67,1
251,0 days 00:00:32.972996982,86,192.168.239.95,1
252,0 days 00:00:32.975209318,125,192.168.239.67,1
253,0 days 00:00:32.975792846,151,192.168.239.67,1
254,0 days 00:00:32.976180420,119,192.168.239.67,1
255,0 days 00:00:33.110489015,119,192.168.239.95,1
256,0 days 00:00:33.112512983,86,192.168.239.95,1
257,0 days 00:00:33.131438280,86,192.168.239.95,1
258,0 days 00:00:33.132012310,86,192.168.239.95,1
259,0 days 00:00:33.146212327,98,192.168.239.95,1
260,0 days 00:00:33.792056570,176,192.168.239.67,1
261,0 days 00:00:33.792056794,117,192.168.239.7,1
262,0 days 00:00:33.792056812,125,192.168.239.7,1
263,0 days 00:00:33.792130436,86,192.168.239.95,1
264,0 days 00:00:33.793474518,125,192.168.239.67,1
265,0 days 00:00:33.852325925,86,192.168.239.95,1
266,0 days 00:00:35.632935042,182,192.168.239.67,1
267,0 days 00:00:35.632975099,199,192.168.239.67,1
268,0 days 00:00:35.706778728,86,192.168.239.95,1
269,0 days 00:00:35.722528287,86,192.168.239.95,1
270,0 days 00:00:35.722528479,125,192.168.239.67,1
271,0 days 00:00:35.766407662,86,192.168.239.95,1
272,0 days 00:00:36.045008369,381,192.168.239.67,1
